Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Sargis Adamyan,ARM,"Forward,Midfielder",Köln,Bundesliga,29,1993,22,4,633,7.0,1,2.0,3.0,1.0,3.4,3.4,0.8,11.0,23.0,57.0
Tosin Adarabioyo,ENG,Defender,Fulham,Premier League,25,1997,15,13,"1,185",13.2,1,1.0,1.0,2.0,0.2,0.2,40.0,7.0,0.08,0.08
Martin Adeline,FRA,"Midfielder, FORWARD",Reims,Ligue 1,19,2003,5,107,1.2,2.0,0,0.1,0.1,3.0,1.0,0,0,0,0,0
Karim Adeyemi,GER,"Forward,Midfielder",Dortmund,Bundesliga,21,2002,16,12,799,8.9,3,2.0,5.0,3.0,2.5,2.5,2.0,21.0,27.0,79.0
Amine Adli,FRA,"Forward,Midfielder",Leverkusen,Bundesliga,22,2000,17,9,923,10.3,2,2.0,4.0,2.0,2.4,1.0,2.4,31.0,3.6,34.0
Yacine Adli,FRA,"Midfielder, FORWARD",Milan,Serie A,22,2000,5,1,124,1.4,0,1.0,0.1,0.1,5.0,9.0,7.0,0,0,0
Michel Aebischer,SUI,"Forward,Midfielder",Bologna,Serie A,26,1997,23,11,"1,011",11.2,1,1.0,1.0,3.0,1.1,0.5,1.6,10.0,60.0,0.09
Felix Afena-Gyan,GHA,"Forward,Midfielder",Cremonese,Serie A,20,2003,16,5,605,6.7,1,2.0,1.3,0.1,18.0,6.0,44.0,0,0,0
Emmanuel Agbadou,CIV,Defender,Reims,Ligue 1,25,1997,21,19,"1,705",18.9,1,2.0,2.0,3.0,11.0,1.5,1.6,0.08,64.0,5.0
Julen Agirrezabala,ESP,Goalkeeper,Athletic Club,La Liga,22,2000,5,4,405,4.5,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Lucien Agoume,FRA,Midfielder,Troyes,Ligue 1,21,2002,9,8,646,7.2,0,1.0,1.0,4.0,5.0,1.0,1.5,0,5.0,0
Felix Agu,GER,"Defender, Forward",Werder Bremen,Bundesliga,23,1999,3,49,0.5,0.1,0,0.1,2.0,2.0,0.0,0,0,0.0,0,0
Álvaro Aguado,ESP,Midfielder,Valladolid,La Liga,26,1996,24,13,"1,298",14.4,1,2.0,3.0,1.0,0.6,0.6,1.5,19.0,94.0,30.0
Kevin Agudelo,COL,"Midfielder, FORWARD",Spezia,Serie A,24,1998,26,21,"1,788",19.9,1,1.0,1.0,3.0,61.0,2.1,3.2,0.06,80.0,0.05
Nayef Aguerd,MAR,Defender,West Ham,Premier League,26,1996,10,9,875,9.7,1,3.0,1.2,0.1,1.0,15.0,4.0,0.12,0.13,0.12
